review_date,card_id,button,interval_days,time_seconds,card_type
"2026-01-22 18:21:39",1753394234105,hard,-330,5.165,learning
"2026-01-22 18:21:44",1769105044013,easy,9,4.686,learning
"2026-01-22 18:21:48",1753394234105,easy,2,3.529,learning
"2026-01-24 23:40:26",1753394234105,easy,14,4.0,review
"2026-01-28 07:38:02",1769519888644,hard,-330,6.0,learning
"2026-01-28 07:38:14",1769519932919,hard,-330,12.0,learning
"2026-01-28 07:38:20",1769519888644,easy,2,6.0,learning
"2026-01-28 07:38:27",1769519932919,easy,2,7.0,learning
"2026-01-28 07:38:43",1769519839871,good,-600,11.0,learning
"2026-01-28 07:38:48",1769520093120,easy,8,5.0,learning
"2026-01-28 07:38:54",1769519839871,easy,5,6.0,learning
"2026-01-30 16:16:01",1769519888644,hard,5,6.0,review
"2026-01-30 16:16:10",1769519932919,hard,7,9.0,review
